422|32|1007|msie|1
397|35|1007|msie|1
635|42|1007|msie|1
397|35|1007|msie|1
629|34|1007|msie|1
363|37|1007|msie|1
406|34|1007|msie|1
476|39|1007|msie|1
388|38|1007|msie|1
350|196|1007|msie|1
686|511|980|safari|1
419|163|980|safari|1
907|40|1920|msie|1
822|67|1920|msie|1
897|41|1920|msie|1
90|231|1007|msie|1
77|254|1007|msie|1
90|285|1007|msie|1
76|317|1007|msie|1
89|338|1007|msie|1
108|369|1007|msie|1
98|397|1007|msie|1
97|422|1007|msie|1
115|457|1007|msie|1
87|475|1007|msie|1
131|479|1007|msie|1
1096|37|1920|msie|1
79|263|1920|msie|1
53|261|1007|chrome|1
54|275|1285|msie|1
63|229|1920|chrome|1
68|228|1600|chrome|1
605|249|1191|firefox|1
70|263|1920|firefox|1
