143|87|980|safari|1
539|30|980|safari|1
423|80|980|safari|1
517|31|980|safari|1
413|106|980|safari|1
605|140|973|firefox|3
640|188|973|firefox|3
1112|387|1583|chrome|1
475|403|1583|chrome|1
451|26|980|safari|1
387|120|980|safari|1
362|575|1044|chrome|1
388|603|867|firefox|3
348|610|867|firefox|1
860|324|1131|msie|1
234|82|1519|msie|1
444|526|980|safari|1
829|485|1263|chrome|1
858|550|1259|msie|1
225|79|1263|chrome|1
490|377|1263|msie|1
926|409|1217|msie|1
929|476|1680|msie|1
1103|275|1583|chrome|1
823|367|1004|msie|1
898|273|1260|msie|1
627|496|1328|chrome|1
143|87|1259|msie|1
599|39|1259|msie|1
921|421|1145|msie|1
230|81|1259|msie|1
326|88|1259|msie|1
237|90|1280|firefox|1
982|356|1280|chrome|1
514|354|1280|chrome|1
219|86|1280|chrome|1
553|39|1255|msie|1
766|28|1255|msie|1
714|257|1280|chrome|1
576|36|1255|msie|1
468|36|1255|msie|1
473|105|1255|msie|1
845|383|1583|msie|1
915|282|1269|msie|1
917|275|1269|msie|1
204|390|980|safari|1
878|294|1440|chrome|1
768|429|1280|msie|1
1052|354|1578|chrome|1
97|38|1578|chrome|1
237|87|1578|chrome|1
1050|273|1578|chrome|1
178|391|980|safari|1
299|383|1264|chrome|1
437|756|1349|chrome|1
939|277|1349|chrome|1
230|383|1099|msie|1
472|349|1349|chrome|1
308|351|1264|chrome|1
313|342|1282|msie|1
308|367|1282|msie|1
315|365|1282|msie|1
247|83|1920|chrome|1
237|83|1264|chrome|1
848|609|1920|chrome|1
322|395|1247|chrome|1
626|376|1920|chrome|1
567|40|1263|msie|1
331|397|1263|msie|1
651|397|1920|chrome|1
343|368|1349|msie|1
394|376|1440|chrome|1
551|401|1732|chrome|1
730|532|1344|msie|1
724|507|1344|msie|1
251|343|777|msie|1
231|328|980|safari|1
446|351|1583|chrome|1
315|390|1257|chrome|1
181|383|980|safari|1
